Online Data Table VII,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Parent and Child Income Distributions by Commuting Zone,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes: This table presents selected characteristics of the income distribution for parents and children by CZ. Column (3) reports the population (from the 2000 census). Columns 5-11 report statistics of the child family income distribution (measured as the 2011-12 mean) for our core sample (1980-82 birth cohorts). Columns 12-18 report statistics of the parent family income distribution (1996-2000 mean) for parents of children in the core sample.  All values are in 2012 dollars and are rounded to the nearest $100.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CZ,CZ Name,State,Children in 1980-82 Cohorts,Mean Child Income,Median Child Income,Child Income P10,Child Income P25,Child Income P75,Child Income P90,Child Income P99,Mean Parent Income,Median Parent Income,Parent Income P10,Parent Income P25,Parent Income P75,Parent Income P90,Parent Income P99
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18)
,,,,,,,,,,,,,,,,,
11403,Sault Ste. Marie,MI,2048,42700,31600,3100,14600,58200,87300,203300,61800,50000,16200,28300,77300,107600,302800
11500,Jackson,MI,12082,45100,35100,3900,15600,63300,93700,191000,79400,68300,20200,38300,98700,134500,323600
11600,Detroit,MI,189275,47700,33200,2800,14000,65700,103100,227100,104200,79300,17700,39500,120900,171300,586700
11700,Lansing,MI,17160,48700,36600,3700,15800,68100,100600,214900,92500,77000,21700,45200,111200,150800,441500
11800,Mount Pleasant,MI,4873,44300,36200,3900,15800,63100,92200,171600,67600,56800,16200,31900,85800,118300,301800
11900,Saginaw,MI,21882,48200,36300,4000,15500,67100,99800,204300,82000,68400,16600,35500,103900,143800,378700
12001,Big Rapids,MI,4991,41700,32900,2900,14400,59700,89000,166700,61500,50700,15600,28700,78600,108400,272900
12002,Ludington,MI,2099,43900,36100,4000,16200,64500,91900,172800,67100,57600,16100,30800,81600,113800,263100
12100,Kalamazoo,MI,19114,45500,34000,2700,14300,64000,95700,200400,86100,68400,18400,36400,103500,147100,437500
12200,Grand Rapids,MI,52268,48300,38500,4900,17600,66500,96300,203300,92000,72900,22400,43200,103300,145700,491500
12301,Traverse City,MI,5876,45200,33700,5400,16400,61400,95200,206400,81300,61400,20400,35300,90200,130700,471100
12302,Petoskey,MI,3196,43400,33000,4900,16400,59300,91100,179500,86100,57100,19400,33800,85300,124800,522500
12401,Alpena,MI,3411,42600,33600,3500,14400,61600,91500,163800,61100,51800,14900,29000,78200,107500,269700
12402,Grayling charter,MI,4114,42100,31700,2800,14000,59000,89500,181800,63700,49800,14100,25800,78300,108000,251100
